Bin,Property,Count,Mean,Median,Std,Min,Max,Q25,Q75
CID_1000000_5000000,Heterocycles,100,1.31,1.0,0.9815983667138791,0.0,5.0,1.0,2.0
CID_1000000_5000000,NumF,100,0.17,0.0,0.5869799439039248,0.0,3.0,0.0,0.0
CID_1000000_5000000,NumCl,100,0.35,0.0,0.6871842709362772,0.0,3.0,0.0,0.25
CID_1000000_5000000,ChiralCenters,100,0.73,0.0,1.1357816691600546,0.0,7.0,0.0,1.0
CID_1000000_5000000,QED,100,0.5369240218585746,0.5381057341622737,0.21179036553732997,0.16515340194846137,0.9282720186158216,0.3957498426461076,0.6864548638628579
CID_5000000_10000000,MW,100,400.9278634856414,389.14780749808995,108.30414147409431,206.0579088,792.91899636791,336.63745336804504,421.43857798799996
CID_5000000_10000000,RotBonds,100,6.56,6.0,2.9278185073739134,1.0,17.0,4.75,8.0
CID_5000000_10000000,TPSA,100,80.84549999999999,79.04499999999999,33.04456893516863,17.07,237.08,60.59,96.01250000000002
CID_5000000_10000000,HAcceptors,100,4.85,5.0,2.2579824730242812,1.0,16.0,4.0,6.0
CID_5000000_10000000,HDonors,100,1.46,1.0,0.9683892697555972,0.0,4.0,1.0,2.0
CID_5000000_10000000,cLogP,100,2.9183968000000005,2.687150000000001,1.9366761364384761,-3.779399999999997,10.491999999999988,1.8495500000000007,3.8040000000000025
CID_5000000_10000000,AromaticRings,100,2.18,2.0,1.0384526173031858,0.0,6.0,2.0,3.0
CID_5000000_10000000,TotalRings,100,2.91,3.0,1.2720380529216928,0.0,7.0,2.0,3.0
CID_5000000_10000000,Heterocycles,100,0.99,1.0,0.9265445744727276,0.0,3.0,0.0,2.0
CID_5000000_10000000,NumF,100,0.2,0.0,0.5685352436149609,0.0,3.0,0.0,0.0
CID_5000000_10000000,NumCl,100,0.27,0.0,0.6644660649838724,0.0,3.0,0.0,0.0
CID_5000000_10000000,ChiralCenters,100,0.93,1.0,1.1124184228404117,0.0,6.0,0.0,1.0
CID_5000000_10000000,QED,100,0.5478869196289898,0.5539490347362077,0.22479159740212565,0.09648497300008453,0.921998316925548,0.3925312962768432,0.7287226899574102
CID_10000000_50000000,MW,100,387.8317163964614,396.641626582045,127.68140235651188,51.996057492,941.4164844940901,306.59108869608997,467.3549213080675
CID_10000000_50000000,RotBonds,100,5.92,5.0,3.112957604996421,0.0,17.0,4.0,8.0
CID_10000000_50000000,TPSA,100,73.107,64.05000000000001,40.84933278388876,0.0,224.67999999999998,46.46,87.93
CID_10000000_50000000,HAcceptors,100,4.26,4.0,2.0381215356154287,0.0,10.0,3.0,6.0
CID_10000000_50000000,HDonors,100,1.41,1.0,1.31114107139198,0.0,8.0,1.0,2.0
